Iteration;Dist_previous;Curv_abscissa;Cart_abscissa;Cart_ordinate;Elevation;Curvature;Vel_perturb;Velocity;Mean_depth;True_elevation
1785;33.8803364795115;7016.41940837424;725467.63;6817473.48;0;0;0;0;1;0
1785;28.3321019342582;7044.7515103085;725452.29;6817449.66;0;0;0;0;1;0
1785;29.2671727370139;7074.01868304551;725445.94;6817421.09;0;0;0;0;1;0
1785;46.027106143877;7120.04578918939;725452.82;6817375.58;0;0;0;0;1;0
1785;53.7336477448813;7173.77943693427;725475.57;6817326.9;0;0;0;0;1;0
1785;23.2120507494965;7196.99148768377;725485.09;6817305.73;0;0;0;0;1;0
1785;36.3401981290824;7233.33168581285;725495.15;6817270.81;0;0;0;0;1;0
1785;22.7786303356188;7256.11031614847;725506.79;6817251.23;0;0;0;0;1;0
1785;36.9435731898102;7293.05388933828;725535.89;6817228.47;0;0;0;0;1;0
1785;33.0401891640284;7326.09407850231;725563.94;6817211.01;0;0;0;0;1;0
1785;32.08732615859;7358.1814046609;725595.16;6817203.6;0;0;0;0;1;0
1785;33.4663846269892;7391.64778928789;725626.91;6817193.02;0;0;0;0;1;0
1785;35.3044416468144;7426.9522309347;725661.31;6817185.08;0;0;0;0;1;0
1785;49.9195402622558;7476.87177119696;725711.05;6817189.31;0;0;0;0;1;0
1785;60.7125201257209;7537.58429132268;725769.79;6817204.66;0;0;0;0;1;0
1785;71.1606611828284;7608.74495250551;725838.05;6817224.77;0;0;0;0;1;0
1785;80.0525858421822;7688.79753834769;725911.07;6817257.58;0;0;0;0;1;0
1785;41.4377460777523;7730.23528442544;725947.59;6817277.16;0;0;0;0;1;0
1785;46.948759302112;7777.18404372756;725983.57;6817307.32;0;0;0;0;1;0
1785;31.256724076226;7808.44076780378;725998.39;6817334.84;0;0;0;0;1;0
1785;72.5072168824061;7880.94798468619;725999.97;6817407.33;0;0;0;0;1;0
1785;27.7676142290808;7908.71559891527;725996.27;6817434.85;0;0;0;0;1;0
1785;66.2303993649074;7974.94599828018;725979.34;6817498.88;0;0;0;0;1;0
1785;43.1206226762061;8018.06662095638;725968.75;6817540.68;0;0;0;0;1;0
1785;34.5011536042739;8052.56777456066;725966.11;6817575.08;0;0;0;0;1;0
1785;71.2967502762154;8123.86452483687;725980.4;6817644.93;0;0;0;0;1;0
1785;54.0499195189543;8177.91444435583;725997.33;6817696.26;0;0;0;0;1;0
1785;34.6355496566742;8212.5499940125;726016.91;6817724.83;0;0;0;0;1;0
1785;40.2198085525671;8252.76980256507;726038.6;6817758.7;0;0;0;0;1;0
1785;48.1843729849724;8300.95417555004;726068.77;6817796.27;0;0;0;0;1;0
1785;46.0320692560872;8346.98624480613;726102.1;6817828.02;0;0;0;0;1;0
1785;74.9640153677069;8421.95026017383;726166.66;6817866.12;0;0;0;0;1;0
1785;56.1343789491726;8478.08463912301;726215.88;6817893.11;0;0;0;0;1;0
1785;56.0958652662842;8534.18050438929;726261.38;6817925.92;0;0;0;0;1;0
1785;32.3073319849506;8566.48783637424;726278.32;6817953.43;0;0;0;0;1;0
1785;38.5884036991038;8605.07624007335;726294.72;6817988.36;0;0;0;0;1;0
1785;23.6912853171352;8628.76752539048;726304.25;6818010.05;0;0;0;0;1;0
1785;47.5307079690087;8676.29823335949;726338.64;6818042.86;0;0;0;0;1;0
1785;66.1499999997206;8742.44823335921;726391.56;6818082.55;0;0;0;0;1;0
1785;45.2142289553519;8787.66246231456;726428.6;6818108.48;0;0;0;0;1;0
1785;59.6737546997445;8847.33621701431;726480.99;6818137.05;0;0;0;0;1;0
1785;39.0168899323681;8886.35310694668;726517.5;6818150.81;0;0;0;0;1;0
1785;43.0692140629557;8929.42232100963;726560.36;6818155.05;0;0;0;0;1;0
1785;59.2055377477573;8988.62785875739;726619.1;6818147.64;0;0;0;0;1;0
1785;33.6794967301111;9022.3073554875;726652.44;6818142.87;0;0;0;0;1;0
1785;36.1095472140885;9058.41690270159;726687.89;6818136;0;0;0;0;1;0
1785;48.2974792299863;9106.71438193158;726727.58;6818108.48;0;0;0;0;1;0
1785;35.9210244845565;9142.63540641613;726752.98;6818083.08;0;0;0;0;1;0
1839;0,00;0,00;723106.67;6815322.51;0;0;0;0;1;0
1839;55.8808849250603;55.8808849250603;723090.8;6815376.09;0;0;0;0;1;0
1839;52.5606326063607;108.441517531421;723077.31;6815426.89;0;0;0;0;1;0
1839;50.7679790820224;159.209496613443;723068.57;6815476.9;0;0;0;0;1;0
