Iteration;Curv_abscissa;Cart_abscissa;Cart_ordinate;Elevation;Curvature;Vel_perturb;Velocity;Max_height;Width;Max_depth
100;28489.6;19201.9;93591.6;2;-0.000315132;-0.180925;0.906624;131.993;1200;50
100;28938.5;19610.7;93777.3;2;-0.000366417;-0.409985;0.906624;131.993;1200;50
100;29395.2;20029.5;93959.5;2;4.71893e-005;-0.783895;0.906624;131.993;1200;50
100;29966.1;20405.2;94389.3;2;0.000610045;-0.254028;0.906624;131.993;1200;50
100;30373.3;20808.7;94444.1;2;0.000538434;0.654485;0.906624;131.993;1200;50
100;30832;21223.4;94248.3;2;0.000490542;0.859747;0.906624;131.993;1200;50
100;31249.3;21602.5;94073.6;2;-0.000248235;1.22325;0.906624;131.993;1200;50
100;31665.7;21999.8;94198.1;2;-0.000387067;0.144323;0.906624;131.993;1200;50
100;32249.8;22399;93771.8;2;-0.00073045;-0.44342;0.906624;131.993;1200;50
100;32838.4;22858;94140.4;2;-0.000487833;-1.33227;0.906624;131.993;1200;50
100;33407;23238.5;94563;2;-0.000255301;-0.945399;0.906624;131.993;1200;50
100;33966.6;23625.7;94966.9;2;0.000257612;-0.723946;0.906624;131.993;1200;50
100;34408.5;23994.3;95210.6;2;0.000294537;0.117695;0.906624;131.993;1200;50
100;34860.1;24395.3;95418.5;2;0.000459014;0.309306;0.906624;131.993;1200;50
100;35255.4;24789.9;95441.7;2;0.00031774;0.684927;0.906624;131.993;1200;50
100;35706.5;25200;95629.6;2;0.000386789;0.522301;0.906624;131.993;1200;50
100;36157.6;25609.4;95440.2;2;0.000292734;0.660076;0.906624;131.993;1200;50
100;36548.3;26000;95432.9;2;0.000285508;0.544901;0.906624;131.993;1200;50
100;36964.9;26416.6;95438.9;2;-5.79499e-005;0.677915;0.906624;131.993;1200;50
100;37544.5;26803.4;95007.3;2;-0.000569341;0.194309;0.906624;131.993;1200;50
100;37955.4;27212.3;94966.3;2;-0.000679366;-0.534823;0.906624;131.993;1200;50
100;38524.6;27645.6;95335.4;2;-0.000391043;-1.25387;0.906624;131.993;1200;50
100;38962.6;28030.1;95545.3;2;0.000127157;-1.08032;0.906624;131.993;1200;50
100;39408;28403.8;95787.5;2;0.000515341;-0.315312;0.906624;131.993;1200;50
100;39805.7;28798.9;95833.4;2;0.000559568;0.446097;0.906624;131.993;1200;50
100;40217.3;29210.2;95847.3;2;0.000572003;0.770261;0.906624;131.993;1200;50
100;40677.6;29631.4;95661.6;2;0.000126473;1.14501;0.906624;131.993;1200;50
100;41127.2;30017.5;95431.3;2;-0.000325768;0.674659;0.906624;131.993;1200;50
100;41578.7;30399.6;95190.7;2;-0.000667303;-0.068193;0.906624;131.993;1200;50
100;42031.6;30825.1;95345.9;2;-0.000575885;-0.909286;0.906624;131.993;1200;50
100;42481;31229.3;95542.4;2;-0.000330154;-1.07088;0.906624;131.993;1200;50
100;42929.7;31623.8;95756.2;2;4.59741e-005;-0.872253;0.906624;131.993;1200;50
100;43377.6;32003.5;95993.5;2;0.000138308;-0.200851;0.906624;131.993;1200;50
100;43826.5;32398.1;96207.8;2;0.000143029;0.123257;0.906624;131.993;1200;50
100;44225.1;32796.6;96214.8;2;2.8007e-005;0.261494;0.906624;131.993;1200;50
100;44669.3;33203.2;96393.6;2;0.000335441;-0.0684619;0.906624;131.993;1200;50
100;45121.1;33595.1;96618.6;2;0.000571341;0.279012;0.906624;131.993;1200;50
100;45542.7;34016;96642.1;2;0.000662247;0.702139;0.906624;131.993;1200;50
100;46115.4;34446.8;96264.9;2;0.000321157;1.26302;0.906624;131.993;1200;50
100;46552.5;34824.1;96044.1;2;5.05816e-005;0.863615;0.906624;131.993;1200;50
100;46999.5;35208.3;95815.6;2;-7.23003e-005;0.337196;0.906624;131.993;1200;50
100;47446.6;35601.4;95602.8;2;-0.000238404;0.0810534;0.906624;131.993;1200;50
100;47893.7;35997.2;95394.7;2;-0.000572145;-0.0966543;0.906624;131.993;1200;50
100;48359.4;36398.5;95158.4;2;-0.000758103;-0.66297;0.906624;131.993;1200;50
100;48838.3;36842;95338.9;2;-0.000662376;-1.18899;0.906624;131.993;1200;50
100;49418.5;37256.4;95745.1;2;-0.000333431;-1.26819;0.906624;131.993;1200;50
100;49985.7;37632.7;96169.5;2;3.24212e-005;-0.772317;0.906624;131.993;1200;50
100;50551.2;38001.4;96598.2;2;0.000224412;-0.0831229;0.906624;131.993;1200;50
100;50998;38393.3;96812.9;2;0.000293581;0.222397;0.906624;131.993;1200;50
100;51445.5;38787.7;97024.4;2;0.00023951;0.449455;0.906624;131.993;1200;50
100;51898;39194.7;97222.1;2;0.000257195;0.396687;0.906624;131.993;1200;50
100;52296.2;39592.8;97231.1;2;5.0685e-005;0.526439;0.906624;131.993;1200;50
100;52739.8;39997;97413.9;2;-9.80943e-005;0.273154;0.906624;131.993;1200;50
